"Please add your Mainnet P2P and API info here, and keep up to date. For API nodes, be sure to include the prefix (http, https) and port number.",,,,Current mainnet version/release tag is oak-v1.4.5.,
Telos-Venezuela,tlsvenezuela,p2p.telosvenezuela.com,https://api.telosvenezuela.com,Yes,p2p-peer-address = p2p.telosvenezuela.com
TelosDAC,telosdacnode,p2p.telosdac.io:9876,https://api.telosdac.io,Yes,p2p-peer-address = p2p.telosdac.io:9876
TelosGermany,telosgermany,apinode.telosgermany:9876,https://apinode.telosgermany.io:443,YES,p2p-peer-address = apinode.telosgermany:9876
TelosGlobal,telosglobal1,node1.emea.telosglobal.io:9876,node1.emea.telosglobal.io:8888,Yes,p2p-peer-address = node1.emea.telosglobal.io:9876
TelosGlobal,telosglobal1,node2.emea.telosglobal.io:9876,node2.emea.telosglobal.io:8888,Yes,p2p-peer-address = node2.emea.telosglobal.io:9876
TelosGlobal,telosglobal1,node1.apac.telosglobal.io:9876,node1.apac.telosglobal.io:8888,Yes,p2p-peer-address = node1.apac.telosglobal.io:9876
TelosGlobal,telosglobal1,node2.apac.telosglobal.io:9876,node2.apac.telosglobal.io:8888,Yes,p2p-peer-address = node2.apac.telosglobal.io:9876
TelosGlobal,telosglobal1,node1.na.telosglobal.io:9876,node1.na.telosglobal.io:8888,Yes,p2p-peer-address = node1.na.telosglobal.io:9876
TelosGlobal,telosglobal1,node2.na.telosglobal.io:9876,node2.na.telosglobal.io:8888,Yes,p2p-peer-address = node2.na.telosglobal.io:9876
TelosGreen,telosgreenbp,p2p.telos.telosgreen.com:9876,http://api.telos.telosgreen.com,Yes,p2p-peer-address = p2p.telos.telosgreen.com:9876
TelosNewYork,telosnewyork,p2p.nytelos.com:8012,https://api.nytelos.com,Yes,p2p-peer-address = p2p.nytelos.com:8012
The Teloscope,theteloscope,p2p.theteloscope.io:9876,https://api.theteloscope.io,Yes,p2p-peer-address = p2p.theteloscope.io:9876
